Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Beaver Mountain,Utah,8600,7.3783837129967145,0,0.0,0,0,0,1,3,1,5,3.8918202981106265,1.0986122886681098,0.5877866649021191,6.142037405587356,0.0,120.0,4.406719247264253,5.993961427306569,50.0,50.0,120.0,0.0,1
Brian Head Resort,Utah,10970,7.3453648404168685,0,0.0,0,1,0,6,1,0,8,4.276666119016055,1.0986122886681098,0.47000362924573563,6.478509642208569,5.37989735354046,149.0,4.007333185232471,5.8888779583328805,42.0,59.0,148.0,0.0,3
Brighton Resort,Utah,10500,7.465082736399547,0,0.0,0,3,1,1,0,2,7,4.204692619390966,1.6094379124341003,0.7884573603642703,6.957497370876951,5.303304908059076,138.0,4.430816798843313,6.2166061010848646,85.0,85.0,138.0,5.303304908059076,3
Deer Valley Resort,Utah,9570,8.006700845440367,1,0.0,0,13,0,5,2,0,21,4.6443908991413725,0.0,1.33500106673234,7.614312146452,6.493753839851686,115.10394265232976,3.6888794541139363,5.707110264748875,169.0,169.0,120.0530035335689,0.0,3
Eagle Point,Utah,10600,7.313886831633462,0,0.0,0,0,1,1,2,1,5,3.713572066704308,0.6931471805599453,0.6418538861723947,6.478509642208569,0.0,115.10394265232976,2.302585092994046,5.993961427306569,45.0,60.0,109.0,0.0,3
Park City,Utah,10000,8.071218539969863,4,0.0,6,10,4,7,4,6,41,5.834810737062605,2.1972245773362196,1.5040773967762742,8.895766604056085,6.621405651764134,142.0,4.04305126783455,5.87493073085203,57.91695652173913,60.0,143.0,0.0,3
Powder Mountain,Utah,9422,7.833203948641057,0,0.0,0,1,4,1,0,3,9,5.123963979403259,1.0986122886681098,1.5040773967762742,9.043695294567236,0.0,120.0,3.871201010907891,6.2166061010848646,88.0,88.0,146.0,5.707110264748875,1
Snowbasin,Utah,9350,7.972810784121404,3,0.0,1,2,0,3,0,2,11,4.68213122712422,1.6094379124341003,1.5040773967762742,8.006700845440367,6.439350371100098,143.0,4.382026634673881,5.707110264748875,115.0,115.0,138.0,0.0,1
Snowbird,Utah,11000,8.083637203141548,1,0.0,0,6,0,0,4,3,14,5.14166355650266,0.6931471805599453,1.252762968495368,7.824445930877619,0.0,188.0,3.8918202981106265,6.2166061010848646,125.0,125.0,180.0,1.0986122886681098,3
Solitude Mountain Resort,Utah,10488,7.822044008185619,0,0.0,0,4,2,1,1,1,9,4.394449154672439,0.0,1.3862943611198906,7.0909098220799835,5.017279836814924,161.0,4.143134726391533,6.2166061010848646,109.0,119.0,148.0,0.0,3
Sundance,Utah,8250,7.67368812926773,0,0.0,0,0,2,2,0,1,5,3.828641396489095,0.6931471805599453,0.47000362924573563,6.111467339502679,4.727387818712341,128.0,3.9318256327243257,5.771441123130016,80.0,80.0,129.0,0.0,1
Nordic Valley Resort,Utah,6400,6.8679744089702925,0,0.0,0,0,0,0,2,2,4,3.1780538303479458,0.6931471805599453,0.3364722366212129,4.948759890378168,4.442651256490317,105.0,3.9512437185814275,5.707110264748875,45.0,50.0,105.0,4.948759890378168,1
Bolton Valley,Vermont,3150,7.4413203897176174,0,0.0,0,0,2,0,3,1,6,4.276666119016055,1.3862943611198906,0.47000362924573563,5.707110264748875,4.51085950651685,133.0,3.9889840465642745,5.707110264748875,69.0,79.0,132.0,3.9318256327243257,2
Bromley Mountain,Vermont,3284,7.19668657083435,0,0.0,0,1,1,0,4,3,9,3.871201010907891,0.6931471805599453,1.252762968495368,5.187385805840755,5.0369526024136295,115.10394265232976,4.430816798843313,5.1298987149230735,87.0,91.0,152.0,0.0,2
Burke Mountain,Vermont,3267,7.60688453121963,0,0.0,0,2,1,0,0,3,6,3.9318256327243257,1.3862943611198906,1.1631508098056809,5.187385805840755,4.836281906951478,110.0,4.143134726391533,5.384495062789089,73.0,73.0,125.0,0.0,2
Jay Peak,Vermont,3968,7.675081857716334,1,0.0,0,1,3,1,1,2,9,4.382026634673881,1.0986122886681098,1.3862943611198906,5.955837369464831,5.707110264748875,155.0,4.174387269895637,5.857933154483459,89.0,89.0,160.0,0.0,2
Killington Resort,Vermont,4241,8.02322468471667,3,0.0,1,5,4,3,1,5,22,5.049856007249537,1.9459101490553132,1.9459101490553132,7.323830566202317,6.398594934535208,192.0,4.127134385045092,5.5254529391317835,119.0,119.0,120.0530035335689,0.0,2
Mad River Glen,Vermont,3637,7.61972421378267,0,0.0,0,0,0,2,2,1,5,3.970291913552122,0.0,0.6931471805599453,4.7535901911063645,2.833213344056216,134.0,4.276666119016055,5.43372200355424,57.91695652173913,119.0,135.0,0.0,2
Magic Mountain,Vermont,2850,7.313886831633462,0,0.0,0,0,0,0,3,3,6,3.9318256327243257,0.6931471805599453,0.9555114450274363,5.327876168789581,4.564348191467836,76.0,4.0943445622221,5.017279836814924,74.0,74.0,80.0,0.0,2
Mount Snow,Vermont,3600,7.438971592395862,0,0.0,1,3,1,6,4,5,20,4.465908118654584,2.3978952727983707,1.3862943611198906,6.398594934535208,6.175867270105761,135.0,4.189654742026425,5.056245805348308,57.91695652173913,74.0,135.0,0.0,2
Okemo Mountain Resort,Vermont,3344,7.696667081526462,0,0.0,1,4,5,3,0,7,20,4.804021044733257,2.302585092994046,1.6094379124341003,6.504288173536645,6.484635235635252,146.0,4.1588830833596715,5.303304908059076,57.91695652173913,74.0,152.0,0.0,2
Pico Mountain ,Vermont,3967,7.584773077612199,0,0.0,0,2,0,2,2,1,7,4.0943445622221,0.6931471805599453,1.6094379124341003,5.564520407322694,5.056245805348308,115.10394265232976,4.418840607796598,5.5254529391317835,81.0,81.0,120.0530035335689,0.0,2
